"date","n_refugees"
2014-04-07,2604403
2014-04-08,2606994
2014-04-09,2609645
2014-04-10,2611099
2014-04-12,2614079
2014-04-13,2647871
2014-04-14,2650244
2014-04-15,2636777
2014-04-16,2638509
2014-04-17,2641162
2014-04-20,2643913
2014-04-21,2643822
2014-04-22,2646559
2014-04-23,2646151
2014-04-24,2645970
2014-04-25,2653939
2014-04-26,2659538
2014-04-27,2659650
2014-04-28,2662432
2014-04-29,2668061
2014-04-30,2689288
2014-05-01,2689042
2014-05-02,2691072
2014-05-04,2690478
2014-05-05,2692700
2014-05-06,2694465
2014-05-07,2696844
2014-05-08,2699229
2014-05-10,2702137
2014-05-11,2708667
2014-05-12,2712114
2014-05-13,2714677
2014-05-14,2716800
2014-05-15,2723596
2014-05-17,2725008
2014-05-19,2732327
2014-05-20,2737514
2014-05-21,2739409
2014-05-22,2739258
2014-05-25,2753163
2014-05-26,2753074
2014-05-27,2760156
2014-05-28,2760224
2014-05-29,2764645
2014-05-30,2768041
2014-06-01,2768009
2014-06-02,2764306
2014-06-03,2766369
2014-06-04,2767354
2014-06-05,2768031
2014-06-05,2771190
2014-06-08,2773436
2014-06-09,2775445
2014-06-10,2787395
2014-06-11,2788863
2014-06-11,2789300
2014-06-12,2792480
2014-06-12,2792551
2014-06-16,2805396
2014-06-17,2807527
2014-06-18,2815209
2014-06-19,2816731
2014-06-19,2816741
2014-06-22,2825296
2014-06-23,2827058
2014-06-24,2828635
2014-06-26,2831254
2014-06-26,2834961
2014-06-26,2834976
2014-06-28,2837261
2014-07-01,2842718
2014-07-02,2846419
2014-07-03,2846821
2014-07-07,2854211
2014-07-08,2863491
2014-07-09,2863595
2014-07-09,2867672
2014-07-10,2869807
2014-07-10,2869814
2014-07-14,2872299
2014-07-15,2875299
2014-07-16,2875497
2014-07-17,2875526
2014-07-17,2884374
2014-07-20,2884651
2014-07-21,2884130
2014-07-21,2890778
2014-07-23,2893110
2014-07-24,2895347
2014-07-24,2897161
2014-07-27,2897479
